36	"Reliquiae selectae"
36	"The Loeb classical library [Latin authors] 139"
36	"The Scriptores historiae augustae Volume I"
35	"Moral essays Vol 2"
35	"[Bohn's classical library]"
34	"Aristotelis opera Volumen Primum Aristoteles Graece ex Recognitione Immanuelis Bekkeri Volumen Prius"
34	"Comoediae. English &amp; Latin"
34	"Geographi graeci minores Volumen Secundum"
34	"Lysiae Orationes"
34	"Plutarch's morals Volume II"
34	"Poetae latini minores Volume IV Anthologia Latina"
34	"The Latin poets"
33	"Homeric Hymns: Greek and German"
33	"Homerische Hymnen: griechisch und deutsch"
33	"Lucian Vol V"
33	"Plutarch's morals Volume I"
33	"Themistii Orationes ex codice mediolanensi"
32	"Aeschylus Tragedies"
32	"Oeuvres de Rufus d'Éphèse"
32	"Plutarch's Lives Volume II"
32	"The Greek anthology Vol V Miscellanea Book XV"
32	"الام :::: كتاب الام"
31	"Carmina"
31	"Platonis Opera Tomus II Tetralogia III-IV"
30	"Plutarch's Moralia Vol VI 439A-523B"
30	"Plutarch's morals Volume IV"
30	"Plutarchi Chaeronensis Moralia Vol VI"
30	"Poetae Graeci."
30	"Scaenicae Romanorum poesis fragmenta Volumen II Comicorum Fragmenta Comicorum Romanorum Praeter Plautum Et Syri Quae Feruntur Sententias Fragmenta"
30	"Septuaginta: Libri Poetici et Prophetici"
30	"The Greek anthology Vol V Epigrams in Various Metres Book XIII"
29	"Libanii Opera Vol VIII Progymnasmata Accedit Gregorii Cyprii Adversus Avari Declamationem Libanianam Antilogia"
29	"Plutarch's Lives Volume X"
29	"Plutarchi Chaeronensis Moralia Vol I"
28	"De Viris Illustribus"
28	"Inde a Fine Belli Peloponnesiaci usque ad Tempora Alexandri Magni"
28	"Lyrica Graeca selecta"
28	"Plutarchi Moralia Vol. 1"
28	"Sepulchral Epigrams Book VII"
28	"Stoicorum veterum fragmenta Volumen III Chrysippi Fragmenta Moralia, Fragmenta Successorum Chrysippi"
28	"Vitae"
27	"Appian's Roman History Volume I"
27	"Appiani Historia romana Volumen Prius"
27	"Bible. N. T. Greek. 1885."
27	"Claudian Vol I"
27	"Historia Romana. Greek."
27	"Liber Quintus A Ptolemaeo III Evergete Usque ad Finem Ptolemaei VI Philometoris, Sive Usque Ad Eversionem Corinthi (247-146 a.C.)"
27	"Lucian Vol II"
27	"Lucian Vol III"
27	"Lyra Graeca being the remains of all the Greek lyric poets from Eumelus to Timotheus excepting Pindar Volume 2"
27	"Plutarch's Moralia Vol II 86 B - 171 F."
27	"Plutarch's Moralia Vol X 771E-854D"
27	"The Lives of the twelve Caesars to which are added, his Lives of the grammarians, rhetoricians, and poets"
27	"The Loeb classical library [Latin authors] 140"
27	"The Loeb classical library [Latin authors] 263"
27	"The New Testament in the original Greek"
27	"The Scriptores historiae augustae Volume II"
27	"The Scriptores historiae augustae Volume III"
27	"Theophrasti Eresii Opera Quae Supersunt Omnia Fragmenta Tomus Tertius Accessit Prisciani Lydi Metaphrasis in Theophrasti Libros de Sensu Et De Phantasia"
26	"Aristoteles Ejusque Discipuli"
26	"Corneli Nepotis Vitae"
26	"Lucian Vol VI"
26	"Lucian Vol VIII"
26	"Plutarch's Lives Volume III"
26	"Plutarchi Chaeronensis Moralia Vol V"
26	"Vitae excellentium imperatorum. Latin."
26	"مسند ابي حنيفه"
25	"Ausonius, with an English translation Vol 2"
25	"Bacchylidis Carmina cum fragmentis"
25	"Cornelii Nepotis Vitae"
25	"Euripides Tragedies"
